day,hour,win_rate,ci_low,ci_high,wins,losses,total
Mon,0,88.3,81.0,93.0,98,13,111
Mon,1,87.0,79.4,92.1,94,14,108
Mon,2,88.2,80.8,93.0,97,13,110
Mon,3,90.9,82.4,95.5,70,7,77
Mon,4,86.3,78.9,91.4,101,16,117
Mon,5,86.7,78.9,91.9,91,14,105
Mon,6,87.9,80.8,92.7,102,14,116
Mon,7,89.0,81.7,93.6,97,12,109
Mon,8,84.1,76.0,89.8,90,17,107
Mon,9,89.8,82.2,94.4,88,10,98
Mon,10,83.3,74.6,89.5,80,16,96
Mon,11,86.9,79.2,92.0,93,14,107
Mon,12,87.9,80.0,92.9,87,12,99
Mon,13,83.7,74.5,90.0,72,14,86
Mon,14,83.0,74.1,89.2,78,16,94
Mon,15,90.0,82.6,94.5,90,10,100
Mon,16,89.0,81.4,93.7,89,11,100
Mon,17,87.8,79.4,93.0,79,11,90
Mon,18,85.9,77.3,91.6,79,13,92
Mon,19,94.7,88.3,97.7,90,5,95
Mon,20,83.3,74.6,89.5,80,16,96
Mon,21,90.1,82.7,94.5,91,10,101
Mon,22,89.4,82.0,94.0,93,11,104
Mon,23,89.7,82.5,94.2,96,11,107
Tue,0,87.4,79.6,92.5,90,13,103
Tue,1,86.8,79.0,92.0,92,14,106
Tue,2,83.3,75.2,89.2,90,18,108
Tue,3,88.4,78.8,94.0,61,8,69
Tue,4,89.2,81.7,93.9,91,11,102
Tue,5,90.9,83.6,95.1,90,9,99
Tue,6,83.3,74.9,89.3,85,17,102
Tue,7,90.5,83.0,94.9,86,9,95
Tue,8,79.8,70.8,86.5,79,20,99
Tue,9,90.6,83.1,95.0,87,9,96
Tue,10,85.7,77.4,91.3,84,14,98
Tue,11,90.1,82.7,94.5,91,10,101
Tue,12,91.4,84.5,95.4,96,9,105
Tue,13,90.3,83.0,94.6,93,10,103
Tue,14,86.7,79.2,91.8,98,15,113
Tue,15,90.1,82.7,94.5,91,10,101
Tue,16,86.1,78.1,91.6,87,14,101
Tue,17,83.7,75.4,89.5,87,17,104
Tue,18,84.1,75.0,90.3,74,14,88
Tue,19,84.4,74.7,90.9,65,12,77
Tue,20,92.7,85.7,96.4,89,7,96
Tue,21,89.8,82.2,94.4,88,10,98
Tue,22,89.3,81.9,93.9,92,11,103
Tue,23,91.0,83.8,95.2,91,9,100
Wed,0,84.5,76.2,90.2,87,16,103
Wed,1,79.0,70.3,85.7,83,22,105
Wed,2,87.6,80.0,92.6,92,13,105
Wed,3,85.5,75.3,91.9,59,10,69
Wed,4,89.7,82.1,94.3,87,10,97
Wed,5,86.7,78.6,92.1,85,13,98
Wed,6,85.4,77.0,91.1,82,14,96
Wed,7,88.8,80.5,93.8,79,10,89
Wed,8,84.7,75.6,90.8,72,13,85
Wed,9,82.1,72.6,88.9,69,15,84
Wed,10,93.5,86.5,97.0,86,6,92
Wed,11,88.1,79.5,93.4,74,10,84
Wed,12,94.1,87.0,97.5,80,5,85
Wed,13,84.0,74.5,90.4,68,13,81
Wed,14,88.9,79.6,94.3,64,8,72
Wed,15,87.1,78.3,92.6,74,11,85
Wed,16,90.9,83.1,95.3,80,8,88
Wed,17,88.2,80.0,93.3,82,11,93
Wed,18,89.2,81.3,94.1,83,10,93
Wed,19,86.7,78.1,92.2,78,12,90
Wed,20,83.3,74.6,89.5,80,16,96
Wed,21,91.0,83.8,95.2,91,9,100
Wed,22,88.7,81.2,93.4,94,12,106
Wed,23,93.9,87.3,97.2,92,6,98
Thu,0,87.2,79.0,92.5,82,12,94
Thu,1,93.9,87.4,97.2,93,6,99
Thu,2,93.8,87.0,97.1,90,6,96
Thu,3,91.0,81.8,95.8,61,6,67
Thu,4,87.0,78.6,92.4,80,12,92
Thu,5,88.8,81.0,93.6,87,11,98
Thu,6,86.5,78.2,91.9,83,13,96
Thu,7,91.6,84.3,95.7,87,8,95
Thu,8,85.2,76.3,91.2,75,13,88
Thu,9,95.3,88.6,98.2,82,4,86
Thu,10,94.8,88.4,97.8,91,5,96
Thu,11,89.2,81.3,94.1,83,10,93
Thu,12,85.4,76.6,91.3,76,13,89
Thu,13,90.5,83.0,94.9,86,9,95
Thu,14,83.9,75.1,90.0,78,15,93
Thu,15,89.7,82.1,94.3,87,10,97
Thu,16,85.1,76.5,90.9,80,14,94
Thu,17,91.9,84.1,96.0,79,7,86
Thu,18,87.8,79.0,93.2,72,10,82
Thu,19,80.5,70.9,87.4,70,17,87
Thu,20,81.8,72.5,88.5,72,16,88
Thu,21,87.4,79.6,92.5,90,13,103
Thu,22,89.7,82.5,94.2,96,11,107
Thu,23,85.3,77.5,90.8,93,16,109
Fri,0,89.1,81.5,93.8,90,11,101
Fri,1,88.7,81.2,93.4,94,12,106
Fri,2,85.7,77.4,91.3,84,14,98
Fri,3,84.7,73.5,91.8,50,9,59
Fri,4,88.8,80.0,94.0,71,9,80
Fri,5,87.2,78.0,92.9,68,10,78
Fri,6,97.6,91.5,99.3,80,2,82
Fri,7,88.6,79.7,93.9,70,9,79
Fri,8,90.9,82.4,95.5,70,7,77
Fri,9,85.3,75.6,91.6,64,11,75
Fri,10,91.7,83.0,96.1,66,6,72
Fri,11,87.5,77.9,93.3,63,9,72
Fri,12,89.2,80.1,94.4,66,8,74
Fri,13,88.7,78.5,94.4,55,7,62
Fri,14,76.4,63.7,85.6,42,13,55
Fri,15,86.5,76.9,92.5,64,10,74
Fri,16,91.5,81.6,96.3,54,5,59
Fri,17,93.8,85.0,97.5,60,4,64
Fri,18,88.2,79.0,93.6,67,9,76
Fri,19,89.3,80.3,94.5,67,8,75
Fri,20,84.1,74.7,90.5,69,13,82
Fri,21,97.6,91.6,99.3,81,2,83
Fri,22,89.5,81.7,94.2,85,10,95
Fri,23,86.3,78.3,91.6,88,14,102
Sat,0,89.9,82.4,94.4,89,10,99
Sat,1,90.7,83.3,95.0,88,9,97
Sat,2,85.7,77.4,91.3,84,14,98
Sat,3,95.1,88.1,98.1,78,4,82
Sat,4,88.0,80.5,92.8,95,13,108
Sat,5,85.7,77.8,91.1,90,15,105
Sat,6,87.2,79.6,92.2,95,14,109
Sat,7,87.5,79.8,92.5,91,13,104
Sat,8,89.0,81.7,93.6,97,12,109
Sat,9,83.0,74.7,89.0,88,18,106
Sat,10,89.4,82.0,94.0,93,11,104
Sat,11,91.7,85.0,95.6,100,9,109
Sat,12,91.5,84.6,95.5,97,9,106
Sat,13,86.7,78.6,92.1,85,13,98
Sat,14,84.8,76.7,90.4,89,16,105
Sat,15,86.0,78.2,91.3,92,15,107
Sat,16,88.9,81.6,93.5,96,12,108
Sat,17,84.1,76.0,89.8,90,17,107
Sat,18,89.7,82.5,94.2,96,11,107
Sat,19,85.4,77.4,91.0,88,15,103
Sat,20,87.6,80.0,92.6,92,13,105
Sat,21,88.8,81.4,93.5,95,12,107
Sat,22,90.1,83.1,94.4,100,11,111
Sat,23,85.7,77.8,91.1,90,15,105
Sun,0,85.1,76.9,90.8,86,15,101
Sun,1,87.4,79.6,92.5,90,13,103
Sun,2,82.5,74.4,88.3,94,20,114
Sun,3,87.7,78.7,93.2,71,10,81
Sun,4,86.0,78.6,91.0,104,17,121
Sun,5,86.8,79.6,91.7,105,16,121
Sun,6,89.3,82.2,93.8,100,12,112
Sun,7,88.1,80.7,92.9,96,13,109
Sun,8,83.8,76.0,89.4,98,19,117
Sun,9,87.4,80.2,92.2,104,15,119
Sun,10,86.5,78.9,91.6,96,15,111
Sun,11,93.9,87.9,97.0,107,7,114
Sun,12,89.6,82.4,94.1,95,11,106
Sun,13,85.2,77.3,90.7,92,16,108
Sun,14,85.7,78.0,91.0,96,16,112
Sun,15,88.1,81.1,92.8,104,14,118
Sun,16,82.7,74.6,88.7,91,19,110
Sun,17,90.2,83.3,94.4,101,11,112
Sun,18,90.0,83.3,94.2,108,12,120
Sun,19,91.0,84.2,95.0,101,10,111
Sun,20,89.0,81.7,93.6,97,12,109
Sun,21,92.9,86.5,96.3,104,8,112
Sun,22,83.3,75.4,89.1,95,19,114
Sun,23,87.6,80.3,92.5,99,14,113
