day,hour,win_rate,ci_low,ci_high,wins,losses,total
Mon,0,89.6,84.5,93.2,173,20,193
Mon,1,91.1,86.1,94.3,173,17,190
Mon,2,90.5,85.5,93.9,172,18,190
Mon,3,86.4,80.9,90.5,171,27,198
Mon,4,89.1,83.9,92.8,172,21,193
Mon,5,90.3,85.3,93.7,176,19,195
Mon,6,86.1,80.5,90.3,167,27,194
Mon,7,92.3,87.4,95.3,167,14,181
Mon,8,84.9,79.0,89.3,157,28,185
Mon,9,87.8,82.2,91.8,158,22,180
Mon,10,87.8,82.1,91.9,151,21,172
Mon,11,87.8,81.9,92.0,144,20,164
Mon,12,87.8,82.1,91.9,151,21,172
Mon,13,90.0,84.6,93.7,153,17,170
Mon,14,88.0,82.2,92.1,147,20,167
Mon,15,90.1,84.7,93.7,154,17,171
Mon,16,85.4,79.6,89.8,158,27,185
Mon,17,89.3,83.8,93.2,151,18,169
Mon,18,88.8,83.4,92.6,159,20,179
Mon,19,90.6,85.4,94.0,163,17,180
Mon,20,91.7,87.0,94.8,177,16,193
Mon,21,90.6,85.5,94.1,164,17,181
Mon,22,83.4,77.2,88.2,146,29,175
Mon,23,88.1,82.3,92.2,148,20,168
Tue,0,89.2,83.5,93.0,148,18,166
Tue,1,89.3,83.7,93.1,150,18,168
Tue,2,88.8,82.9,92.8,142,18,160
Tue,3,85.7,79.6,90.2,144,24,168
Tue,4,91.6,86.3,94.9,152,14,166
Tue,5,88.6,82.9,92.6,148,19,167
Tue,6,88.4,82.7,92.3,152,20,172
Tue,7,84.9,78.9,89.4,152,27,179
Tue,8,88.0,82.6,91.8,168,23,191
Tue,9,85.9,80.0,90.2,152,25,177
Tue,10,89.8,84.7,93.4,168,19,187
Tue,11,89.0,83.8,92.7,170,21,191
Tue,12,88.4,82.9,92.3,160,21,181
Tue,13,87.3,81.1,91.6,137,20,157
Tue,14,90.3,84.6,94.0,139,15,154
Tue,15,90.6,85.0,94.2,144,15,159
Tue,16,88.8,83.0,92.8,143,18,161
Tue,17,88.0,82.0,92.2,139,19,158
Tue,18,87.1,81.1,91.4,142,21,163
Tue,19,89.2,83.5,93.0,148,18,166
Tue,20,90.3,84.6,94.0,140,15,155
Tue,21,83.5,77.3,88.3,147,29,176
Tue,22,88.8,83.5,92.6,167,21,188
Tue,23,79.0,72.4,84.3,139,37,176
Wed,0,86.5,80.8,90.7,160,25,185
Wed,1,81.4,75.0,86.4,144,33,177
Wed,2,92.3,87.2,95.4,155,13,168
Wed,3,91.2,86.2,94.5,166,16,182
Wed,4,90.0,84.7,93.6,162,18,180
Wed,5,90.3,85.1,93.9,159,17,176
Wed,6,84.2,78.4,88.7,160,30,190
Wed,7,89.9,84.8,93.4,169,19,188
Wed,8,89.7,84.5,93.3,166,19,185
Wed,9,87.6,82.0,91.6,162,23,185
Wed,10,88.4,83.1,92.2,168,22,190
Wed,11,87.4,82.1,91.3,174,25,199
Wed,12,86.2,80.6,90.4,163,26,189
Wed,13,86.5,81.1,90.6,173,27,200
Wed,14,87.2,81.8,91.2,170,25,195
